"","ksat","ndvi_mean_years","ndvi_years_range","ndvi_mean_summer","ndvi_summer_range","mean_slope","sd_slope","median_slope","q5_slope","q95_slope","mean_aspect","sd_aspect","median_aspect","q5_aspect","q95_aspect","mean_twi","sd_twi","median_twi","q5_twi","q95_twi","dem1k","tm_1","tm_2","tm_3","tm_4","tm_5","tm_6","tm_7","tm_8","tm_9","tm_10","tm_11","tm_12","rr_mean","rr_range","soil_unit.1","soil_unit.2","soil_unit.3","soil_unit.4","soil_unit.5","soil_unit.6","soil_unit.7","soil_unit.10","landcover.11","landcover.12","landcover.31","landcover.60","landcover.91","landcover.93","landcover.122","landcover.125","landcover.126","lithology.6","lithology.18","DEPTH"
"61",374.9868086,0.466784447,0.269480795,0.548622131,0.282723069,0.035003211,0.01573891,0.032732911,0.012972109,0.062182538,1.948661804,1.259473205,1.712312222,0.357799411,3.9099648,8.60316658,0.390713513,8.653297424,7.906964779,9.233675957,494.0204773,-2.445024729,-0.816645443,3.177665472,8.047655106,12.66875362,16.04545212,17.8285675,17.57640839,13.41957664,8.288463593,2.929180861,-1.119409561,591.6169434,421.9000244,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10
"62",470.6657256,0.44463411,0.168975085,0.513347328,0.25470382,0.04433186,0.029174738,0.03738308,0.014157619,0.092769615,2.481811523,1.480802536,2.526002407,0.335564613,5.476356983,8.661761284,0.499379486,8.552383423,7.950334549,9.565550804,483.6618958,-2.266101837,-0.604282141,3.440158606,8.351553917,12.95390987,16.30553627,18.12586212,17.89961815,13.73090458,8.547977448,3.122824907,-0.942290902,584.4390259,413.1000366,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"63",496.2163319,0.540462494,0.186873078,0.614772975,0.176015377,0.062489074,0.053396799,0.04499954,0.020007519,0.174216121,2.225132465,1.778098941,1.670211792,0.224833414,6.001882076,7.706202507,0.417546153,7.751068115,6.941428661,8.351566315,461.0713806,-2.182804823,-0.49491629,3.571924686,8.504717827,13.10770893,16.46596146,18.29226303,18.0620842,13.87177944,8.651339531,3.23259902,-0.852050304,582.7220459,410.2999878,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"64",451.6807488,0.594451964,0.12212503,0.678430796,0.124230742,0.099825896,0.099284463,0.067824602,0.010398023,0.327380061,2.385853767,1.628941536,2.134116173,0.291048944,5.062652588,6.792904854,0.783745289,6.836175919,5.575378418,8.078373909,431.1713562,-2.092892408,-0.380604506,3.709267378,8.666893005,13.26845264,16.63387108,18.4671402,18.2335434,14.01920891,8.762083054,3.347740173,-0.75680697,578.0322266,405.2999878,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
"65",424.754286,0.486251414,0.117584586,0.58657223,0.138999999,0.088205688,0.066368818,0.07626535,0.001768489,0.215416297,3.986325502,1.734802604,4.473588943,0.322913617,6.084617615,6.932165623,0.582532287,6.932754993,5.928093433,7.829246521,528.8400879,-2.563258648,-1.054036975,2.871295929,7.62296629,12.27569771,15.61994362,17.35224152,17.11470795,13.040452,8.046255112,2.773757219,-1.22096777,709.6373291,652.4000244,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10
"66",435.7933655,0.544213891,0.166753799,0.634918451,0.153853834,0.07435941,0.040077746,0.067054145,0.022882966,0.150080308,3.068763494,1.748467207,3.436172485,0.186219886,5.849380016,6.295991898,0.565662444,6.346828461,5.093392849,7.092861176,587.0532227,-2.693821907,-1.23713994,2.640240669,7.343729019,11.99045944,15.33005714,17.05926704,16.82599831,12.79497242,7.877966404,2.590508461,-1.367741942,697.9373169,645.5999756,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"68",814.6164551,0.609967232,0.191431105,0.724315047,0.189192355,0.026826791,0.025876071,0.019567862,0.000233,0.08052633,3.324058294,1.594764471,2.930710793,0.773883462,5.802390099,8.509394646,0.654468298,8.48151207,7.459345341,9.299149513,573.2657471,-2.649207354,-1.176919341,2.706615686,7.422118664,12.06610203,15.41274071,17.14603615,16.90410042,12.86228848,7.925888538,2.637401104,-1.322717309,667.1694946,617.6000977,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"70",487.7026568,0.562027454,0.133296162,0.662855625,0.135361552,0.037489317,0.02157657,0.032978475,0.012328341,0.076830633,2.079132318,1.049952269,2.069992304,0.546643615,3.809712648,7.455805302,0.588404953,7.572968483,6.420861244,8.293703079,589.0331421,-2.67769289,-1.214866042,2.657845974,7.365056515,12.00579548,15.35237312,17.08854675,16.84524345,12.81132793,7.890869617,2.593531132,-1.357955217,649.0643921,598.2999268,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"71",615.625,0.552338898,0.194100022,0.663265109,0.151100039,0.05711706,0.039352149,0.048235592,0.010886432,0.129363567,3.737742186,1.546814919,3.933885098,0.354118317,5.930821419,7.64701128,0.561746657,7.711080551,6.656419754,8.433253288,604.7963867,-2.721678495,-1.273265481,2.578840971,7.270847797,11.90546799,15.25466156,16.99209976,16.74833298,12.72819233,7.834362984,2.52912426,-1.412875891,639.3237305,581,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
"72",537.2399902,0.489485174,0.150105804,0.577349901,0.196053863,0.052589085,0.04061925,0.040424466,0.010975379,0.138251975,2.475601912,1.203157902,2.554428101,0.718072951,4.282706261,7.814758778,0.429263532,7.876030922,7.038294792,8.412805557,533.0155029,-2.541006088,-0.982553005,2.956916332,7.749265671,12.37670898,15.74344635,17.50420952,17.25166893,13.15135574,8.116046906,2.78429389,-1.218015313,620.6677856,516.7000122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
