rowid,prof7_id,sand,clay,silt,DEPTH,x,y,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
35,135,37,8,55,10,621000,393000,2.597845786,1.339140269,2.940983703,0.827163082,-1.324338897,0.631954126,-0.447343175,-0.266629897,-0.231891259,0.587418049,-0.697453497,0.023379135,0.043379932,-0.676432904,1.970855563,0.494472439,1.025843693,0.561932004,-2.488866046,0.651560344,-0.61599263,-0.223641957,-0.198086339,-0.151254406,0.28893187,0.009375404,-0.053214691,-0.01259893,0.035732387,0.016310146,0.529226214,-0.278217868
36,136,22,18,60,10,621000,398000,1.693705228,2.546124749,-0.256617759,-2.28578517,2.03077277,1.301579101,-1.432290193,0.109731952,-0.93614296,1.299527838,-0.39771598,0.071041513,-0.050493983,-1.666755212,1.263484123,-0.372537497,-0.605578682,0.561755768,-0.207550401,-0.224658705,0.12938248,-0.019009708,0.097733127,-0.107473285,-0.05766596,-0.051672826,-0.032156766,0.034557755,-0.00779204,0.42279932,-0.034474262,-0.105262275
37,137,51,12,37,10,621000,437000,4.228627011,-2.059858018,1.14175499,-0.260447128,0.428801963,1.157997275,1.438858149,-0.671739378,-3.699747178,0.911073872,0.710187035,2.718578203,-27.72707535,0.862192694,-0.781355355,1.440573739,4.164659423,0.466238694,-1.21678698,0.896544957,-1.003027988,-0.430535064,0.083682307,-0.252825776,0.32596107,-0.073505292,-0.250081064,-0.268246895,0.001073429,-0.608629199,-0.280220386,-0.110601791
38,138,25,34,41,10,624000,352000,4.064032794,-0.14503562,0.394125082,-0.494707006,1.13516474,0.5502447,2.510490629,-0.140702532,-2.634960166,-3.300458468,6.929093783,11.63562646,1.673756198,2.041763694,3.227690876,1.600498486,-2.146060787,0.945224586,-1.521844831,0.668551277,1.545160444,-3.624617223,-2.365155147,3.211373619,-1.577163036,-1.20368031,0.176194126,0.183068038,0.011697524,-0.412998627,-1.355507473,2.498866573
39,139,32,27,41,10,624000,374000,5.348598967,-1.924826319,0.04593815,1.875493228,1.231366739,-0.756465628,-1.050631914,0.615778772,0.681362378,-0.46830164,0.71802998,-0.405658283,0.040242069,0.712317667,-1.142424414,1.176275217,0.124108208,-1.855695699,-0.527141244,-3.551902546,-1.130020111,0.753136157,-0.120771661,0.110478411,-0.069709223,-0.232767936,0.022822272,-0.03576157,-0.01659027,0.189840483,-1.121953318,0.926616887
40,140,26,18,56,10,624000,385000,3.941970771,-0.261359465,2.293112716,0.886070531,-0.985252886,0.46445899,-1.256902192,-0.572606982,0.76360289,-0.091900504,-0.688867983,-0.09293695,0.08466948,1.149411893,1.848621688,1.255752706,-0.095997471,0.163092684,0.414721288,-3.175766636,-1.625233727,0.510483849,-0.229313237,-0.078265771,0.526028726,-0.275144542,0.052758361,-0.245448892,-0.03267348,-0.312319938,0.614616635,1.706755693
41,141,13,24,63,10,627000,371000,6.674789024,-3.960497926,-0.936199721,1.400369723,0.846814292,-0.102144518,-0.972596312,0.493370542,0.39335223,-0.019525664,0.156110626,-0.307232036,0.154400423,0.421612782,-0.039301431,0.727147216,0.200324049,-0.568807939,0.245770279,0.268332459,3.614157677,-0.788745344,4.268492013,-0.841845985,2.022997438,-0.891606969,0.030612747,-0.677607696,-0.101819471,-0.977387129,0.436200253,0.101235933
42,142,20,30,50,10,627000,376000,5.864647116,-2.437097953,-0.2458057,1.603393343,1.060528088,-0.400407089,-1.049878827,0.669057816,0.690981867,-0.481156994,0.678244075,-0.376434838,0.099929551,0.898783801,-1.328584961,0.804916936,0.374636157,-1.380808944,-0.488046479,0.041586451,3.829503526,-0.653404299,4.264392086,-0.832284458,1.705789899,-0.90121597,0.046017244,-0.593702826,-0.105896571,-0.601909118,-0.278159399,0.79058074
43,143,36,21,43,10,627000,382000,5.067405499,-1.284110482,-1.01839888,0.607678195,0.506231455,-0.202065752,-0.349086968,0.701512154,-0.221081312,0.389939401,0.129590072,-0.268577341,0.154600243,-0.76360045,-0.092634764,0.814590243,0.61902659,0.876262867,0.445730425,-0.371313211,0.214133403,-0.136632595,0.432852311,-0.102933924,-0.039006217,0.01061112,-0.073942376,0.004083642,-0.016323911,0.402338872,-1.146507544,-2.00846867
44,144,45,11,44,10,627000,398000,4.650666517,-0.589943152,-0.146877242,-1.791190688,0.399931768,1.130343516,2.949155126,-0.484929182,-2.295301154,-3.461944967,6.947285098,11.50234151,1.673943344,2.936931171,3.271635738,0.710594946,-0.267090542,0.346629674,0.134443373,-0.334285492,0.125405222,-0.108052651,0.372484704,-0.184414492,-0.06672098,0.110242268,-0.052901915,0.202267464,0.018786225,0.079430506,-1.081670334,-0.883578689
45,145,47,13,40,10,627000,431000,3.866472085,-1.342603446,0.013104578,0.969516058,1.383434419,-1.058104116,-2.425150998,-6.458666211,-0.413704753,-0.807805803,1.180655412,-0.22729037,0.527809513,0.306138369,-0.661609965,1.035961949,2.083898313,0.974437236,1.04718384,2.945820362,-1.102379151,3.306995516,-0.108510761,0.213347477,-0.493197973,-0.530828814,0.186394947,-0.139760918,-0.023903261,-0.54468296,0.192217313,2.583427055
46,146,33,23,44,10,627000,437000,6.301483133,-2.894343117,-0.622977152,1.541813914,1.085002071,-0.359744248,-0.637659536,0.928656242,0.044733077,0.111640077,0.293821713,-0.212500239,0.135304561,-0.372377226,-0.826733006,1.044168032,-0.531676594,0.182655363,-0.688346113,0.281980953,3.669416495,-0.670402797,4.089952744,-0.925091426,2.004596807,-0.961477875,0.07390007,-0.660566512,-0.112514102,-0.389975139,1.042100885,0.526688606
