rowid,prof7_id,sand,clay,silt,DEPTH,ndvi_mean_years,ndvi_years_range,ndvi_mean_summer,ndvi_summer_range,mean_slope,sd_slope,median_slope,q5_slope,q95_slope,mean_aspect,sd_aspect,median_aspect,q5_aspect,q95_aspect,mean_twi,sd_twi,median_twi,q5_twi,q95_twi,dem1k,tm_1,tm_2,tm_3,tm_4,tm_5,tm_6,tm_7,tm_8,tm_9,tm_10,tm_11,tm_12,rr_mean,rr_range,soil_unit,landcover,lithology
34,5034,60.25,18.175,21.575,10,0.514680803,0.084503859,0.6274966,0.172038496,0.081864372,0.122995511,0.023445383,5.81E-04,0.381488442,3.052391529,1.802217484,3.215792418,1.427841783,6.09801054,6.643986225,0.936473131,6.65601635,5.181848526,8.050236702,502.4330444,-2.153635979,0.615736425,5.160552502,9.645706177,14.29289246,17.79740143,19.63862801,19.19436836,15.27121544,10.24168968,4.088163853,-1.303253174,1138.881348,724.0999756,6,122,2
35,5035,22.2,30.5,47.3,10,0.643915534,0.09356302,0.734784484,0.128176928,0.139212385,0.119331166,0.098568246,0.019526033,0.405612707,3.95121789,2.203901291,5.175393105,1.57581234,6.187086105,6.022326946,0.896818042,5.9254179,4.790268898,7.390612602,517.1555176,-2.248086452,0.510476351,5.039338589,9.514434814,14.15932178,17.66663933,19.50956917,19.06941032,15.15446377,10.13726139,3.985028267,-1.401202917,1168.772949,740.8999634,6,126,2
36,5036,51.9,22.1,26,10,0.643915534,0.09356302,0.734784484,0.128176928,0.139212385,0.119331166,0.098568246,0.019526033,0.405612707,3.95121789,2.203901291,5.175393105,0.443257123,6.187086105,6.022326946,0.896818042,5.9254179,4.790268898,7.390612602,517.1555176,-2.248086452,0.510476351,5.039338589,9.514434814,14.15932178,17.66663933,19.50956917,19.06941032,15.15446377,10.13726139,3.985028267,-1.401202917,1168.772949,740.8999634,6,126,2
37,5037,47.7,20.6,31.7,10,0.69393158,0.111076891,0.751246631,0.147223055,0.146448374,0.121673867,0.095142573,0.02021577,0.386251181,4.019198418,1.869103074,4.720668316,0.113463081,6.106856346,5.997462273,0.709887087,6.091319084,4.688155174,6.920246124,596.9928589,-2.549972773,0.096160352,4.513176918,8.937994957,13.55965042,17.07502937,18.94573593,18.50746346,14.6256218,9.689530373,3.600028276,-1.718097329,1184.611938,746.9000244,6,93,2
38,5038,34.4,25.6,40,10,0.518897057,0.105503023,0.603815854,0.112879157,0.055411112,0.09459275,4.28E-04,0,0.23420684,3.396570444,1.650653958,3.099302053,0.33228597,5.940889835,8.297341347,2.634558201,7.514232635,5.100951195,11.93922329,507.1187439,-2.207435846,0.559000611,5.09614563,9.583643913,14.23097324,17.74067879,19.5785141,19.1375351,15.21257114,10.18294144,4.037938118,-1.353471875,1190.230469,772.5,6,91,2
39,5039,62.1,14.9,23,10,0.60723269,0.090873122,0.749130428,0.094953835,0.329421192,0.248246074,0.310424238,0.013313367,0.745109975,4.04371357,1.597379684,4.457901955,0.493463129,5.986537933,4.607874393,1.383100986,4.305182457,3.088053465,7.285317898,632.7894897,-2.589283705,0.043177556,4.445380211,8.863135338,13.48059082,16.99308014,18.8711586,18.43091965,14.55661011,9.631820679,3.549576283,-1.763149261,1115.78479,710.2999878,6,60,18
40,5040,30.2,22.7,47.1,10,0.567907155,0.091458797,0.693289936,0.1674698,0.082990669,0.117043927,0.035049431,0.005252048,0.356943756,2.279795408,1.599233985,1.759695411,1.441630483,5.679129601,6.941438198,1.31094408,6.973614693,4.815927982,8.861802101,506.791687,-2.171241045,0.597056866,5.139256477,9.626836777,14.27383804,17.7810173,19.62159729,19.1786499,15.2530508,10.22315502,4.071949005,-1.320256948,1105.091553,700.999939,6,126,1
41,5041,58.36666667,20.2,21.43333333,10,0.583177984,0.11700958,0.68619895,0.147423089,0.219393566,0.177874565,0.185074285,0.009189509,0.549698114,2.756429434,1.80880177,2.145028591,0.529787004,5.947577477,5.218427181,1.313092589,4.838089943,3.755759478,7.943844795,512.4234009,-2.173099995,0.595549822,5.136741638,9.622457504,14.27047634,17.77703476,19.6185894,19.17556,15.251441,10.22252655,4.069774151,-1.323455453,1109.672852,704.6000366,NA,11,1
42,5042,68.325,16.2,15.475,10,0.69965291,0.0915519,0.781592071,0.139153898,0.150761977,0.153332412,0.09257213,0.005401802,0.466231316,3.717429638,1.371119857,4.06628561,0.270524204,5.536793709,6.203794003,1.419162989,6.240828037,4.007519722,8.690757751,620.5986938,-2.653581142,-0.051121954,4.312028408,8.709350586,13.31987476,16.83980179,18.72064018,18.28291512,14.41155434,9.516402245,3.468926668,-1.815937757,1084.732178,690.6000366,4,91,18
43,5043,54.6,20.2,25.2,10,0.66299957,0.085644186,0.736688077,0.18170768,0.094370604,0.106505729,0.050323635,0.004230591,0.310255706,3.408078671,1.423042536,3.768789768,0.651661098,5.391688824,7.257323265,0.827427924,7.352207184,5.7388587,8.363685608,539.0858154,-2.346500874,0.393606514,4.903745174,9.365424156,14.0077095,17.51519775,19.36219215,18.92528725,15.02096081,10.02137756,3.87220335,-1.506916404,1102.427124,704.1000366,4,91,18
44,5044,47.375,22.4,30.225,10,0.637821019,0.137667656,0.798518419,0.113361537,0.309712082,0.215366974,0.257404506,0.057957273,0.725946903,3.986967802,2.039467335,4.763257027,0.536714554,6.136928082,4.630054951,0.803841829,4.64315033,3.221162081,5.818029404,605.2734985,-2.997977018,-0.272301078,4.215828419,8.726949692,13.35423756,16.86737251,18.69037819,18.25483894,14.3753109,9.363969803,3.248474598,-2.162930489,1145.388184,804.0999756,4,130,6
45,5045,48.55,28.2,23.25,10,0.668861508,0.103530765,0.793260038,0.104223073,0.277737677,0.21678701,0.214808971,0.050575856,0.736663222,2.930798531,2.384896755,2.956386566,0.63844347,6.155984402,4.702544689,0.807933569,4.731803894,3.204574585,5.944069386,562.1270752,-2.887397528,-0.128011003,4.397785664,8.956666946,13.5893383,17.10858727,18.91353226,18.47348404,14.56703377,9.510360718,3.39983058,-2.033706903,1145.64917,810.3000488,4,126,6
46,5046,28.3,23.9,47.8,10,0.552042425,0.112801909,0.665175259,0.135992289,0.237936348,0.159199879,0.232332319,0.013028543,0.52890414,1.705677629,1.297317624,1.30900979,0.198998079,4.454644203,4.824255943,0.90387249,4.562476158,3.705565214,6.501866817,452.4729309,-2.559978247,0.232231572,4.830809116,9.505282402,14.15054703,17.68920898,19.4671402,19.02165222,15.0556221,9.885893822,3.778785467,-1.67709136,1022.369507,703.9000854,4,126,18
47,5047,62.05,17.8,20.15,10,0.398771167,0.158626139,0.524944901,0.215184629,0.091679953,0.177140117,0.012928102,0.002027873,0.540160656,3.312927485,2.012559414,3.22274065,1.116092205,6.097472191,8.649039268,2.626024246,10.26850796,3.826823235,11.09120274,436.8752747,-2.494040489,0.303015172,4.910060406,9.596920967,14.24628258,17.78635597,19.56016922,19.11514473,15.1398592,9.955194473,3.851073503,-1.604893446,991.5830688,679.2000122,10,11,2
