"","sand","clay","silt","DEPTH","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"70",12,27,61,10,4.326402211,-0.251123265,0.828751084,0.815643951,0.721630559,-0.491746318,-1.41232747,-0.682146001,0.023715161,-0.118740736,-0.541339949,1.069856825
"71",13,29,58,10,4.964788935,1.313711476,3.307011209,1.705435973,-1.22601224,1.047749336,0.398603561,0.736876366,-0.363513845,-0.434220738,-1.50891245,-0.724416018
"72",23,28,49,10,4.982413811,2.215103489,0.822250223,-3.264341961,-1.323997028,0.063360899,-0.716570431,-0.33341369,-0.981153872,0.222066918,0.098727281,0.392422179
"73",11,42,47,10,5.524931277,1.26414033,-0.875431282,-0.324096952,0.127448852,-1.029573054,-0.813891308,-0.479987672,0.734186909,-0.085942656,-0.205201561,0.178686473
"74",24,29,47,10,5.684828428,1.136299362,-1.569278673,-0.990039377,0.214480512,-2.077422853,-1.5198667,-0.06040816,-0.292552765,0.07781304,-1.10113179,-0.117752095
"75",26,30,44,10,5.411414093,1.551956194,3.472001559,0.142053256,-1.333362223,0.392635943,-0.762800445,0.532705265,-0.851709607,0.153510072,-0.934046562,-0.132220353
"76",40,23,37,10,5.00256312,0.596770594,1.45356331,2.878313276,0.067469781,-0.64521815,-0.877816442,0.60047111,-0.561028313,-0.013873083,-0.061039842,1.368564794
"77",23,26,51,10,5.861433804,2.124939441,0.055760556,-0.220370591,-0.56637276,0.716288084,0.190233115,0.53625406,0.167840681,0.579525382,0.867212247,-0.813844611
"78",10,43,47,10,6.409757708,3.446871434,0.256275415,-1.364521741,-1.063733013,-1.085355219,-0.829162237,-0.756406775,-0.056245737,0.642069286,0.96863547,-0.940744424
"79",38,19,43,10,5.078091891,2.060938899,2.00668518,0.826571862,-0.799358372,0.188673616,-0.035687751,-0.048189945,0.090542669,0.484983844,0.565248625,-0.309371936
"80",24,29,47,10,4.806555993,0.76966978,1.913378501,-2.128441877,-0.372161617,0.058108261,-0.426261748,-0.81938717,-1.094660926,-0.032186348,-0.497808604,0.091852101
